Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
0,2.137223,4.835383,0.360384,3.747618,-2.012448,-0.305593,2.591987,1.240856,4.328839,3.410898,4.485545,-0.155435,-1.535659,1.189014,-3.859008,-1.396516,-4.907813,-1.778865,1.795829,-1.174226,4.646314,-2.63623,-4.548296,1.20953,4.037906,-1.297045,-3.108856,-2.809417,91.2
1,4.383651,0.051738,-0.436125,-3.118924,1.844704,-4.780977,-1.712735,3.789487,4.628409,1.671197,-4.766216,0.242941,4.790366,0.136825,4.839804,-4.420431,-4.672099,2.810872,1.915534,-2.264162,-1.44188,-0.16269,-0.490595,3.503089,-1.935814,0.342625,3.454107,0.883534,103.09
2,-2.100395,-1.64893,-1.05535,1.517704,1.553672,4.725813,-2.673984,-1.471385,3.906058,0.370594,-0.853119,3.035727,3.837029,0.039719,-1.105054,0.417042,-1.421173,-4.954335,2.815203,0.137967,1.077907,3.073497,-2.624334,3.492101,3.040307,-2.167122,-2.563954,4.640535,238.37
3,0.273502,1.854454,-1.450942,3.330947,1.532025,3.213447,0.925192,-2.228484,-1.139856,-4.568217,-4.244018,2.011765,-0.757952,-0.511653,3.333483,2.052443,3.104411,-1.16305,2.718379,0.984831,-2.624553,-3.269278,3.868922,0.777274,4.759473,-2.314217,1.698055,0.999795,425.76
4,1.513033,-2.172582,-2.73101,-3.590579,3.978483,2.909092,4.960406,-4.965865,-2.454727,1.258769,-3.883652,4.573004,4.288462,-1.043901,3.366071,3.849959,-2.080699,-4.288234,2.920919,-2.040081,2.732329,-4.415129,-2.826437,-2.934697,-3.219967,4.533056,1.460231,3.274365,160.11
5,-1.030859,-1.678702,-0.69266,-3.001711,-4.767886,-2.8875,-1.898267,2.363341,-0.600909,1.215542,-1.952485,-2.95339,1.059368,1.794751,-3.500424,-1.540862,-1.298488,2.24248,2.7232,4.517397,0.664486,0.338965,-0.897764,4.319949,-1.494588,-2.933311,-1.79866,2.723892,71.93
6,-3.443455,-0.880375,-4.604834,3.52766,2.40653,3.890382,4.159362,2.960131,-2.355669,4.796964,1.26749,-3.790832,-2.281141,-1.618914,-0.888346,-4.466399,2.878463,-0.652375,-4.174082,-3.946368,4.045912,0.42602,2.392618,-0.769171,-2.955337,4.18989,4.766751,-1.921463,148.03
7,4.266944,-4.96439,0.14843,-2.490538,4.648736,2.040907,-1.197723,4.173716,-1.550817,-4.783721,-2.377633,-3.572547,-1.287467,-4.469849,2.185433,4.227121,-2.587387,-2.783109,4.501639,0.963854,-0.693845,1.517562,1.011662,0.133583,2.533375,4.572568,0.310522,4.49238,45.65
8,2.423545,-2.117984,-4.47479,1.498614,-3.217193,-2.644015,-3.434402,1.493682,-0.339924,1.491103,0.22187,-3.611723,0.795535,2.588449,-2.424846,3.524433,-0.667527,4.011778,-2.996388,0.003657,-3.102711,-3.127754,2.295869,-3.377132,1.369127,0.858771,-0.432863,-3.656521,412.73
9,4.744856,0.697517,4.72018,-0.323996,-2.216475,-2.288358,-0.12152,-3.340425,-2.999603,-4.141743,-4.942214,3.429527,-4.899539,-1.355213,4.568603,-0.850497,2.697138,-0.438802,3.898949,-3.201247,4.437004,-4.224536,-1.807572,-3.797221,-4.580753,-4.296896,-2.102022,4.301209,190.12
10,0.797642,1.344982,-3.909932,-0.136008,-0.13782,0.684461,0.440139,3.381735,0.433561,1.105682,-0.661045,0.894992,1.516423,2.051162,-1.786853,4.310137,-0.644581,3.832107,-3.287574,-0.329569,3.928851,-3.624606,3.797741,3.119161,4.840322,3.774892,-3.667404,-4.001395,162.94
11,-2.094687,3.677415,1.941819,-0.495748,2.499083,-3.512125,4.540009,-4.04674,4.293583,-3.186564,-3.540671,-1.950482,-4.64381,1.660522,-2.674275,-0.832745,2.308214,0.346257,1.951833,-4.546463,-1.088089,-3.389846,2.973183,2.626292,1.158495,0.184147,-1.333274,-4.829459,353.03
12,1.945219,2.898015,-3.878277,-4.2366,2.10117,-2.999812,-4.575547,-4.140353,2.872699,-0.700777,-1.198466,0.916261,3.136126,0.240561,-3.575636,2.168113,4.363356,-2.202484,4.721511,1.285939,-3.928832,2.744667,-0.293235,-4.272016,-1.810735,-0.425595,2.807577,4.781795,144.25
13,4.345143,-0.021292,-3.770358,1.604733,-2.298786,2.0107,4.93695,3.426924,4.415761,-2.171366,-1.456752,4.943117,-1.981301,3.466273,1.578771,-3.804589,-4.810733,4.630419,-4.620525,3.16703,-1.087072,0.989266,-4.427979,-4.22027,-0.04262,1.933369,-0.706531,3.384361,16.63
14,-4.706523,2.120378,2.26186,-3.803812,1.925693,-2.36778,-4.109004,4.752738,-3.881315,-2.906511,0.902746,3.20075,-3.823174,-3.037121,-3.547073,-0.297025,1.102128,-4.860442,-3.860505,3.507204,3.472381,1.736807,-0.449326,3.656368,3.41477,0.888606,0.681499,4.215199,288.84
15,-3.057049,-4.014694,1.333236,-0.839415,1.764476,-4.799682,-4.045345,-1.161051,4.966925,3.943349,3.753001,-4.85213,-4.315622,3.686946,-0.616477,4.801901,-4.859384,-0.984511,3.119024,-0.646612,-1.051854,-2.512132,3.833959,-0.323396,-2.011641,-2.152085,4.671011,-2.850409,95.97
16,0.983585,-0.191992,-4.190966,0.292624,0.080746,4.042496,-2.677453,4.567275,-2.696751,-2.44599,-3.951897,-3.752545,1.779968,3.391344,-1.56142,1.580572,3.817568,-4.429302,4.020851,-0.416345,-2.016105,-4.31821,-3.723723,-1.718003,2.7967,1.207184,-2.022966,-4.758344,404.27
17,-3.767161,2.900648,-0.627551,1.573285,4.942996,-4.107938,4.458482,-0.758797,4.218056,-2.955365,4.597535,1.219826,-3.643199,-2.626617,-2.154212,-0.62832,-0.334299,-4.411179,-2.651168,2.24508,-0.597088,2.885811,-3.981071,3.590561,-2.872241,-3.615564,3.35827,-2.704209,277.69
18,3.467428,4.975762,1.38742,2.522566,4.70118,-0.061895,-2.564953,-0.817373,-0.157918,-2.949453,3.748442,-4.818187,-1.570238,0.86229,-3.05453,0.904315,-0.031235,3.997938,3.989783,-2.800752,4.622566,2.395779,-4.959892,3.667286,-1.923624,1.327582,-4.890506,-3.691185,394.73
19,-3.763786,2.305214,2.76215,-3.575247,-3.536546,2.301169,-1.234801,4.120167,2.235052,-2.385348,-2.012772,-3.836888,2.153338,-1.291689,1.85346,4.432398,1.958224,0.643877,-2.681749,3.805751,-0.92311,-0.87145,3.134466,-3.16091,-1.587349,4.015655,0.901423,0.136872,226.12
20,0.768371,2.142704,-1.903098,0.659846,-3.686508,-3.913301,-4.717132,-2.495823,1.288305,-3.099365,1.163561,0.085274,0.454773,-1.067109,-0.265774,-4.994185,2.531396,-0.42212,4.525876,-0.437658,-2.220252,2.515557,-1.80613,1.359756,2.346587,-3.057936,0.024345,1.003291,26.03
21,4.017663,3.778785,3.363884,4.464834,-3.628254,1.750898,0.096063,0.823924,-0.258408,3.399105,-2.785552,-0.431562,2.392876,1.699095,-0.604875,0.189732,-4.463754,-3.289518,3.288917,-2.506333,-1.592099,-4.441509,-1.302672,-0.318739,1.497684,-0.411663,-0.832845,-2.415258,309.02
